2026-04-01 20:36:26 | INFO     | mt5_collector        | mt5_collector.py:435 | No existing data for 1D, doing full fetch
2026-04-01 20:36:26 | INFO     | mt5_collector        | mt5_collector.py:321 | Fetching 1D from 2000-01-01 00:00:00 to 2026-04-01 20:36:26.381240
2026-04-01 20:36:26 | INFO     | mt5_collector.collection | logger.py:214 | Processing timeframe: 1D
2026-04-01 20:36:33 | DEBUG    | mt5_collector        | mt5_collector.py:287 | 1D: 81 candles with warnings
2026-04-01 20:36:33 | DEBUG    | mt5_collector.collection | logger.py:230 |   1D: Chunk processed - Fetched: 2412, Inserted: 12, Invalid: 0, Earliest: 2018-06-29 00:00:00
2026-04-01 20:36:33 | INFO     | mt5_collector        | mt5_collector.py:393 |   1D: Fetched 2412, inserted 12, invalid 0 (up to 2018-06-29 00:00:00)
2026-04-01 20:36:33 | INFO     | mt5_collector        | mt5_collector.py:411 |   1D session breakdown: daily=2,412
2026-04-01 20:36:33 | INFO     | mt5_collector.collection | logger.py:244 | Completed 1D: Fetched 2,412, Inserted 12 new records
2026-04-01 20:36:33 | ERROR    | mt5_collector.collection | logger.py:257 | Error during data collection: 'DatabaseManager' object has no attribute 'get_session_summary': 'DatabaseManager' object has no attribute 'get_session_summary'
Traceback (most recent call last):
  File "F:\MT5-Collector\mt5_collector.py", line 522, in run
    results['session_summary'] = self.db.get_session_summary()
                                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'DatabaseManager' object has no attribute 'get_session_summary'
2026-04-01 20:36:33 | INFO     | mt5_collector        | mt5_collector.py:177 | MT5 connection closed
2026-04-01 20:36:33 | INFO     | mt5_collector.collection | logger.py:270 | ============================================================
2026-04-01 20:36:33 | INFO     | mt5_collector.collection | logger.py:271 | COLLECTION FAILED
2026-04-01 20:36:33 | INFO     | mt5_collector.collection | logger.py:272 | Duration: 0:00:37.736445
2026-04-01 20:36:33 | INFO     | mt5_collector.collection | logger.py:273 | Timeframes processed: 11
2026-04-01 20:36:33 | INFO     | mt5_collector.collection | logger.py:274 | Total fetched: 10,822
2026-04-01 20:36:33 | INFO     | mt5_collector.collection | logger.py:275 | Total inserted: 21
2026-04-01 20:36:33 | INFO     | mt5_collector.collection | logger.py:276 | Total duplicates skipped: 10,801
2026-04-01 20:36:33 | INFO     | mt5_collector.collection | logger.py:277 | Total invalid records: 0
2026-04-01 20:36:33 | INFO     | mt5_collector.collection | logger.py:280 | Errors encountered: 1
2026-04-01 20:36:33 | INFO     | mt5_collector.collection | logger.py:282 |   - Error during data collection: 'DatabaseManager' object has no attribute 'get_session_summary'
2026-04-01 20:36:33 | INFO     | mt5_collector.collection | logger.py:284 | ============================================================
2026-04-01 20:38:45 | INFO     | mt5_collector        | mt5_collector.py:130 | MT5Collector initialized | symbol=USTECm | broker_utc_offset=GMT+2
2026-04-01 20:38:45 | INFO     | mt5_collector.collection | logger.py:205 | ============================================================
2026-04-01 20:38:45 | INFO     | mt5_collector.collection | logger.py:206 | COLLECTION STARTED
2026-04-01 20:38:45 | INFO     | mt5_collector.collection | logger.py:207 | Symbol: USTECm
2026-04-01 20:38:45 | INFO     | mt5_collector.collection | logger.py:208 | Mode: incremental
2026-04-01 20:38:45 | INFO     | mt5_collector.collection | logger.py:209 | Time: 2026-04-01 20:38:45.676625
2026-04-01 20:38:45 | INFO     | mt5_collector.collection | logger.py:210 | ============================================================
2026-04-01 20:38:45 | INFO     | mt5_collector        | mt5_collector.py:505 | Setting up database schema...
2026-04-01 20:38:46 | INFO     | mt5_collector        | mt5_collector.py:137 | Initializing MT5 connection...
2026-04-01 20:38:46 | INFO     | mt5_collector        | mt5_collector.py:154 | Logged in to MT5 account: 295134074
2026-04-01 20:38:46 | INFO     | mt5_collector        | mt5_collector.py:161 | MT5 Terminal: MetaTrader 5
2026-04-01 20:38:46 | INFO     | mt5_collector        | mt5_collector.py:162 | MT5 Version: 5660
2026-04-01 20:38:46 | INFO     | mt5_collector        | mt5_collector.py:165 | Session labeling active | broker offset: GMT+2 | Sessions: asian(00-07 UTC), london(07-12 UTC), london_ny_overlap(12-16 UTC), new_york(16-21 UTC), off_hours(21-00 UTC)
2026-04-01 20:38:46 | INFO     | mt5_collector        | mt5_collector.py:198 | Symbol 'USTECm' is available
2026-04-01 20:38:46 | DEBUG    | mt5_collector        | mt5_collector.py:199 | Symbol digits: 2, spread: 192
2026-04-01 20:38:46 | INFO     | mt5_collector        | mt5_collector.py:518 | Starting data collection...
2026-04-01 20:38:46 | INFO     | mt5_collector        | mt5_collector.py:435 | No existing data for 1min, doing full fetch
2026-04-01 20:38:46 | INFO     | mt5_collector        | mt5_collector.py:321 | Fetching 1min from 2000-01-01 00:00:00 to 2026-04-01 20:38:46.122783
2026-04-01 20:38:46 | INFO     | mt5_collector.collection | logger.py:214 | Processing timeframe: 1min
2026-04-01 20:38:46 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 1min before 2026-04-01 20:38:46.122783
2026-04-01 20:38:46 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 1min before 2026-03-25 20:38:46.122783
2026-04-01 20:38:46 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 1min before 2026-03-18 20:38:46.122783
2026-04-01 20:38:46 | INFO     | mt5_collector.collection | logger.py:244 | Completed 1min: Fetched 0, Inserted 0 new records
2026-04-01 20:38:46 | INFO     | mt5_collector        | mt5_collector.py:435 | No existing data for 2min, doing full fetch
2026-04-01 20:38:46 | INFO     | mt5_collector        | mt5_collector.py:321 | Fetching 2min from 2000-01-01 00:00:00 to 2026-04-01 20:38:46.167607
2026-04-01 20:38:46 | INFO     | mt5_collector.collection | logger.py:214 | Processing timeframe: 2min
2026-04-01 20:38:46 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 2min before 2026-04-01 20:38:46.167607
2026-04-01 20:38:46 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 2min before 2026-03-25 20:38:46.167607
2026-04-01 20:38:46 | DEBUG    | mt5_collector        | mt5_collector.py:345 | No more data for 2min before 2026-03-18 20:38:46.167607
2026-04-01 20:38:46 | INFO     | mt5_collector.collection | logger.py:244 | Completed 2min: Fetched 0, Inserted 0 new records
2026-04-01 20:38:46 | INFO     | mt5_collector        | mt5_collector.py:435 | No existing data for 3min, doing full fetch
2026-04-01 20:38:46 | INFO     | mt5_collector        | mt5_collector.py:321 | Fetching 3min from 2000-01-01 00:00:00 to 2026-04-01 20:38:46.211648
