timeframe,symbol,timestamp,open,high,low,close,volume,signal,signal_reason,trade_outcome,label,tp_price,sl_price,rr_ratio,demand_zone_strength,demand_zone_fresh,demand_zone_touches,supply_zone_strength,supply_zone_fresh,supply_zone_touches,nearest_demand_dist_atr,nearest_supply_dist_atr,in_demand_zone,in_supply_zone,between_zones,bullish_engulfing,bearish_engulfing,pin_bar_bullish,pin_bar_bearish,higher_low,lower_high,bos_bullish,bos_bearish,buy_confirmation_score,sell_confirmation_score,atr_14,rsi_14,ema_spread_atr,price_above_ema20,price_above_ema50,price_above_ema200,ema_trend_bias,bb_position,bb_width_atr,volume_ratio,body_atr_ratio,momentum_5,momentum_10,htf_1h_bias,htf_4h_bias,htf_aligned,candle_size_atr,body_size_atr,wick_upper_atr,wick_lower_atr,hour,month,day_of_week_int,spread_norm
15min,USTECm,2024-01-04 10:30:00,16413.78,16415.24,16407.77,16408.08,403.0,0,,0,0,,,,0.8263577287841865,0.0,1.0,2.601886446245831,0.0,6.0,0.22337444791568878,17.138689848645154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.266398532010232,45.65899479348899,-0.13537301472001478,0.0,0.0,0.0,-1.0,0.4395640266373624,3.888947233921697,0.8681602757432142,0.46468407048127086,-0.9448576099782994,-1.0492077170339442,1.0,-1.0,0.0,0.608980702893876,0.46468407048127086,0.11902434086011499,0.02527229155249017,10,1,3,0.0
15min,USTECm,2024-01-04 10:45:00,16407.73,16411.53,16395.81,16409.16,473.0,0,,0,0,,,,0.8263577287841865,0.0,1.0,2.601886446245831,0.0,6.0,0.30015214898472525,16.43372302622003,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,12.726878727741871,46.98620558742263,-0.13067374043252364,0.0,0.0,0.0,-1.0,0.4348996297820373,3.3873469556697664,0.9963138493944181,0.11236062121680361,-0.6136618543380303,-0.4187986790809507,1.0,-1.0,0.0,1.2351810947749322,0.11236062121680361,0.1862200505481291,0.9366004230099995,10,1,3,0.0
15min,USTECm,2024-01-04 11:00:00,16408.99,16413.18,16405.95,16408.02,406.0,0,,0,0,,,,0.8263577287841865,0.0,2.0,2.601886446245831,0.0,6.0,0.22344577191532394,17.53298931942857,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,11.993961564042896,45.6288890674519,-0.1436491149738154,0.0,0.0,0.0,-1.0,0.36305026853030653,3.0409666322910867,0.8509746384405784,0.08087402938725398,-1.1780928198370941,-0.19843318550695555,-1.0,-1.0,1.0,0.6028033324431405,0.08087402938725398,0.349342456837726,0.17258684621816056,11,1,3,0.0
15min,USTECm,2024-01-04 11:15:00,16408.26,16417.14,16408.26,16413.84,381.0,0,,0,0,,,,0.8263577287841865,0.0,2.0,2.601886446245831,0.0,6.0,0.7320791320500969,17.610378838856963,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.610766688837042,53.53561979721114,-0.1242351987434869,1.0,1.0,0.0,-1.0,0.5023976348711021,2.9276129808719262,0.7922645040548971,0.4805884184517107,0.10162980891992088,1.634689638389473,-1.0,-1.0,1.0,0.7648073756005719,0.4805884184517107,0.28421895714886114,0.0,11,1,3,0.0
15min,USTECm,2024-01-04 11:30:00,16413.62,16413.71,16384.24,16391.0,545.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,16.225614048621892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,14.009331130325243,32.27971915837722,-0.17651344020311988,0.0,0.0,0.0,-1.0,-0.09497719459617004,2.6810889688562765,1.1144054800122687,1.6146381143804722,-1.6331971731665273,-1.0236034730422725,-1.0,-1.0,1.0,2.1035979323957785,1.6146381143804722,0.006424289579763151,0.48253552843554337,11,1,3,0.0
15min,USTECm,2024-01-04 11:45:00,16391.05,16395.32,16373.36,16373.89,542.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,16.21960201017046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,15.069420312948429,24.032077142061326,-0.2865288427082165,0.0,0.0,0.0,-1.0,-0.22685418380299374,3.416650543020442,1.0881349126681388,1.1387299341073682,-2.268833126289835,-3.0379403486849643,-1.0,-1.0,1.0,1.4572557898017369,1.1387299341073682,0.2833552924614488,0.03517056323291988,11,1,3,0.0
15min,USTECm,2024-01-04 12:00:00,16373.79,16380.1,16350.56,16375.57,689.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,14.2798055282118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,16.998830937888755,26.16927326212327,-0.3418701554411779,0.0,0.0,0.0,-1.0,-0.05934847145546101,3.5358166775477446,1.3464920852061755,0.10471308329989633,-1.9760182404738948,-2.435461600345989,-1.0,-1.0,1.0,1.7377665621791782,0.10471308329989633,0.2664889142407474,1.3665645646385347,12,1,3,0.0
15min,USTECm,2024-01-04 12:15:00,16375.77,16376.83,16356.69,16372.34,615.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,14.121879292721612,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,17.41765347950351,24.631987089827433,-0.41733362053831435,0.0,0.0,0.0,-1.0,-0.016455014517379737,3.792812906760713,1.1713170174269119,0.19692664135477864,-2.0484963742094924,-2.8597422757672835,-1.0,-1.0,1.0,1.1562981215408867,0.19692664135477864,0.060857795870572995,0.8985136843155352,12,1,3,0.0
15min,USTECm,2024-01-04 12:30:00,16372.65,16378.18,16365.78,16374.32,626.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,14.567756053475323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.748633015569663,27.638620445892485,-0.5014108202335489,0.0,0.0,0.0,-1.0,0.06872787952464887,4.062870325572127,1.1700934579439253,0.09970962994099605,-2.3595955540528193,-2.289142043076529,-1.0,-1.0,1.0,0.7403589289032043,0.09970962994099605,0.2304665698037394,0.4101827291584688,12,1,3,0.0
15min,USTECm,2024-01-04 12:45:00,16374.46,16376.34,16361.76,16364.39,512.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,15.426973997134288,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,16.459481946827033,22.45494922253137,-0.601736962207895,0.0,0.0,0.0,-1.0,0.013587636255073716,4.585131405107116,0.9496429565056107,0.6118054038718539,-1.6166972986127495,-3.0067775012531306,-1.0,-1.0,1.0,0.8858115976615322,0.6118054038718539,0.11421987679037589,0.15978631699930243,12,1,3,0.0
